cleavage_prediction_loss,cleavage_prediction_mae,loss,sp_class_prediction_accuracy,sp_class_prediction_loss,sp_prediction_accuracy,sp_prediction_loss,val_cleavage_prediction_loss,val_cleavage_prediction_mae,val_loss,val_sp_class_prediction_accuracy,val_sp_class_prediction_loss,val_sp_prediction_accuracy,val_sp_prediction_loss,learning_rate
8.635082485852763e-05,0.005052024498581886,0.10626097768545151,0.9812718033790588,0.06431598961353302,0.9869324564933777,0.041891276836395264,5.485932433657581e-06,0.002145572565495968,0.1442176103591919,0.9766377806663513,0.0847194716334343,0.9816955924034119,0.06014389172196388,0.0010000000474974513
5.048193270340562e-05,0.0036329166032373905,0.08540120720863342,0.9861496090888977,0.05186385288834572,0.9900035858154297,0.033529747277498245,9.034672530106036e-07,0.0006934602279216051,0.1607055366039276,0.9768785834312439,0.09185570478439331,0.9824181199073792,0.06904090195894241,0.0010000000474974513
3.769182148971595e-05,0.003333063330501318,0.07704596221446991,0.9865711331367493,0.046626344323158264,0.9901240468025208,0.0303955115377903,1.4107753258940647e-06,0.0009735436760820448,0.15866050124168396,0.9766377806663513,0.09253425151109695,0.9828997850418091,0.06617061048746109,0.0010000000474974513
2.408467116765678e-05,0.0024364686105400324,0.06027425453066826,0.9902445077896118,0.03789656609296799,0.993556559085846,0.022358659654855728,1.9919978058169363e-06,0.0012353904312476516,0.14591160416603088,0.9795279502868652,0.08467146009206772,0.9843448996543884,0.06171673908829689,0.0010000000474974513
1.9205132048227824e-05,0.0024245106615126133,0.06164738908410072,0.9882572293281555,0.0382152758538723,0.9917499423027039,0.023420102894306183,2.5396429919055663e-06,0.0013785348273813725,0.14712108671665192,0.9807322025299072,0.08543422818183899,0.9867533445358276,0.06202978640794754,0.0010000000474974513
2.277272506034933e-05,0.0028532834257930517,0.053177040070295334,0.9901842474937439,0.0330057218670845,0.9930145740509033,0.02015598490834236,8.326509259859449e-07,0.000770829152315855,0.14957673847675323,0.9809730052947998,0.0904177576303482,0.9862716794013977,0.05903543904423714,0.0010000000474974513
6.276631665969035e-06,0.0009203183581121266,0.01687425747513771,0.9971696734428406,0.011196775361895561,0.9983741044998169,0.0056728278286755085,1.1430292801151154e-07,0.00020192965166643262,0.17476814985275269,0.9819363951683044,0.10461164265871048,0.986994206905365,0.07004645466804504,0.00020000000949949026
7.463704150723061e-06,0.0009499455918557942,0.006263079587370157,0.9989160299301147,0.004876867868006229,0.9996988773345947,0.0013817327562719584,1.6054061688919319e-06,0.0010874263243749738,0.22038058936595917,0.9819363951683044,0.12851545214653015,0.9867533445358276,0.09174050390720367,0.00020000000949949026
2.9372253266046755e-05,0.0013880283804610372,0.004387121181935072,0.99921715259552,0.0037004032637923956,0.9999397993087769,0.000671529967803508,1.7380338590555766e-07,0.000322058069286868,0.2453451305627823,0.9812138676643372,0.14004850387573242,0.9862716794013977,0.10486599802970886,0.00020000000949949026
3.726200247911038e-06,0.0007440387271344662,0.0062040602788329124,0.9989762902259827,0.004561078734695911,0.9995784759521484,0.0016403930494561791,2.7390544232730463e-07,0.0004735606780741364,0.24538320302963257,0.9824181199073792,0.14004789292812347,0.9867533445358276,0.10522492229938507,0.00020000000949949026
