accuracy,loss,val_accuracy,val_loss,learning_rate
0.9408647418022156,0.1527312994003296,0.9710982441902161,0.08426542580127716,0.0010000000474974513
0.9793448448181152,0.06559685617685318,0.9795279502868652,0.06499049812555313,0.0010000000474974513
0.9845839142799377,0.04700490087270737,0.9771194458007812,0.07736796885728836,0.0010000000474974513
0.9877755045890808,0.03909880295395851,0.9812138676643372,0.06862757354974747,0.0010000000474974513
0.9921112656593323,0.02727862261235714,0.9824181199073792,0.0690254420042038,0.0010000000474974513
0.9928941130638123,0.023877421393990517,0.9730250239372253,0.10807770490646362,0.0010000000474974513
0.9939780831336975,0.020358404144644737,0.9710982441902161,0.09267714619636536,0.0010000000474974513
0.997530996799469,0.008541636168956757,0.9812138676643372,0.08122354745864868,0.00020000000949949026
0.9994580149650574,0.003107711672782898,0.9814547300338745,0.09173500537872314,0.00020000000949949026
0.9996386766433716,0.0021915584802627563,0.9816955924034119,0.09562667459249496,0.00020000000949949026
0.9997591376304626,0.0018563683843240142,0.9809730052947998,0.10179592669010162,0.00020000000949949026
0.9997591376304626,0.001207037246786058,0.9819363951683044,0.10686720907688141,0.00020000000949949026
0.9998193383216858,0.000762831186875701,0.9819363951683044,0.10853588581085205,4.0000002627493814e-05
0.9998193383216858,0.0008066419395618141,0.9814547300338745,0.10999953001737595,4.0000002627493814e-05
0.9998193383216858,0.0008265725336968899,0.9826589822769165,0.11181817948818207,4.0000002627493814e-05
0.9998193383216858,0.0006753004272468388,0.9826589822769165,0.1146499440073967,4.0000002627493814e-05
0.9998193383216858,0.0005534471711143851,0.9816955924034119,0.11836190521717072,4.0000002627493814e-05
0.9998193383216858,0.0004818364104721695,0.9824181199073792,0.1190166175365448,8.000000889296643e-06
0.9998795390129089,0.00045611729728989303,0.9824181199073792,0.11991527676582336,8.000000889296643e-06
0.9998795390129089,0.00039934151573106647,0.9824181199073792,0.12092774361371994,8.000000889296643e-06
0.9998795390129089,0.0003019084397237748,0.9826589822769165,0.12227702885866165,8.000000889296643e-06
0.9998795390129089,0.0003432152734603733,0.9821772575378418,0.1242077499628067,8.000000889296643e-06
0.9998795390129089,0.00028179417131468654,0.9826589822769165,0.12412751466035843,1.6000001323845936e-06
0.9998795390129089,0.000277521408861503,0.9826589822769165,0.12470728904008865,1.6000001323845936e-06
0.9998795390129089,0.0002667118387762457,0.9821772575378418,0.12524157762527466,1.6000001323845936e-06
