cleavage_prediction_loss,cleavage_prediction_masked_mae,loss,sp_class_prediction_accuracy,sp_class_prediction_loss,sp_prediction_accuracy,sp_prediction_loss,val_cleavage_prediction_loss,val_cleavage_prediction_masked_mae,val_loss,val_sp_class_prediction_accuracy,val_sp_class_prediction_loss,val_sp_prediction_accuracy,val_sp_prediction_loss,learning_rate
0.007226315326988697,3.254685878753662,0.4327726662158966,0.8938937783241272,0.28903356194496155,0.945983350276947,0.14007937908172607,0.004535384476184845,2.247213125228882,0.30343878269195557,0.9222061634063721,0.1943950355052948,0.9597784280776978,0.10761627554893494,0.0010000000474974513
0.003512404393404722,2.7447071075439453,0.1879330426454544,0.9601951241493225,0.12071900814771652,0.9778393507003784,0.0654398649930954,0.0031871239189058542,2.0059893131256104,0.16689659655094147,0.9725433588027954,0.0954885259270668,0.9790462255477905,0.07026712596416473,0.0010000000474974513
0.0030993367545306683,2.6430768966674805,0.13443124294281006,0.97669517993927,0.08024054765701294,0.9832590818405151,0.052632931619882584,0.004060785286128521,1.9806175231933594,0.1360854059457779,0.9778420329093933,0.0801510140299797,0.9848265647888184,0.054298076778650284,0.0010000000474974513
0.0029183276928961277,2.7994749546051025,0.11719406396150589,0.9783210754394531,0.06971324980258942,0.9845839142799377,0.04604650288820267,0.003963359631597996,2.0769126415252686,0.14568078517913818,0.9744701385498047,0.08608585596084595,0.9812138676643372,0.05778150632977486,0.0010000000474974513
0.002837601350620389,2.693213701248169,0.08818646520376205,0.9851258397102356,0.05415226146578789,0.9904853701591492,0.032607607543468475,0.003386893542483449,2.9227497577667236,0.13816653192043304,0.9768785834312439,0.08053547143936157,0.9831406474113464,0.056377820670604706,0.0010000000474974513
0.002766534686088562,2.6554388999938965,0.08023269474506378,0.9860291481018066,0.04785749316215515,0.9900035858154297,0.031053338199853897,0.003051284933462739,3.7973520755767822,0.16098104417324066,0.9778420329093933,0.09148348867893219,0.9838631749153137,0.06841186434030533,0.0010000000474974513
0.002695654518902302,2.876739740371704,0.06302155554294586,0.9883174896240234,0.038234055042266846,0.9921715259552002,0.023435210809111595,0.002768448321148753,2.1556172370910645,0.17365722358226776,0.9766377806663513,0.09878050535917282,0.9826589822769165,0.07423590123653412,0.0010000000474974513
0.0025513661094009876,2.894993305206299,0.06215301901102066,0.9886788129806519,0.03684764355421066,0.9918704032897949,0.024022670462727547,0.0031117659527808428,1.9247913360595703,0.1567036509513855,0.9792870879173279,0.0930681899189949,0.9841040372848511,0.062169626355171204,0.0010000000474974513
0.0024609549436718225,2.755497932434082,0.030445611104369164,0.9948211312294006,0.0182628333568573,0.9963868260383606,0.010949062183499336,0.0030876901000738144,2.9706177711486816,0.16508923470973969,0.9816955924034119,0.09541917592287064,0.9872350692749023,0.06847576797008514,0.00020000000949949026
0.0024020089767873287,3.2602035999298096,0.014111222699284554,0.9975912570953369,0.008791515603661537,0.9988558292388916,0.004117252305150032,0.0032005785033106804,3.0805554389953613,0.17909476161003113,0.9819363951683044,0.10337936133146286,0.986994206905365,0.07455632090568542,0.00020000000949949026
0.002295899670571089,3.3498222827911377,0.008966334164142609,0.9985547661781311,0.00565360439941287,0.9995784759521484,0.0021639030892401934,0.003582460107281804,3.4391374588012695,0.21025624871253967,0.9814547300338745,0.11941958963871002,0.9867533445358276,0.08964309841394424,0.00020000000949949026
0.0023332256823778152,3.648954391479492,0.006481198128312826,0.9989762902259827,0.0037061760667711496,0.9995784759521484,0.0016077281907200813,0.0032883554231375456,3.7615134716033936,0.2403748482465744,0.9821772575378418,0.13574959337711334,0.9867533445358276,0.10425233095884323,0.00020000000949949026
0.0022714799270033836,3.7838046550750732,0.005577231757342815,0.99921715259552,0.0029393364675343037,0.9997591376304626,0.0015019816346466541,0.003366469405591488,4.063370227813721,0.2981511950492859,0.9785645604133606,0.17001956701278687,0.9833815097808838,0.12743380665779114,0.00020000000949949026
0.0022881452459841967,3.8043549060821533,0.0043081981129944324,0.9994580149650574,0.00214447476901114,0.9996386766433716,0.0010192954214289784,0.0033754128962755203,3.81465220451355,0.264096736907959,0.9807322025299072,0.1514839380979538,0.9853082895278931,0.11230930685997009,4.0000002627493814e-05
0.0022355257533490658,3.793876886367798,0.0024031815119087696,0.9996386766433716,0.0009737950749695301,0.9999397993087769,0.00031185042462311685,0.0031688723247498274,3.9410817623138428,0.2740262448787689,0.9809730052947998,0.15630888938903809,0.9853082895278931,0.11753686517477036,4.0000002627493814e-05
0.0022577878553420305,3.897038459777832,0.0026055399794131517,0.9997591376304626,0.0010951545555144548,0.9998795390129089,0.00038160261465236545,0.003364201169461012,3.962448835372925,0.27863290905952454,0.9826589822769165,0.1592084914445877,0.9867533445358276,0.11930085718631744,4.0000002627493814e-05
0.002181664574891329,3.8762991428375244,0.0026971285697072744,0.9996988773345947,0.0012641936773434281,0.9998193383216858,0.0003422359295655042,0.003354994347319007,3.9410767555236816,0.2841953635215759,0.9814547300338745,0.16249431669712067,0.9860308170318604,0.12177826464176178,4.0000002627493814e-05
0.0022217959631234407,3.8450255393981934,0.0018651073332875967,0.9998795390129089,0.0005852329195477068,1.0,0.00016886072990018874,0.003196573816239834,3.9773781299591064,0.2933596968650818,0.9828997850418091,0.16733910143375397,0.986994206905365,0.1261047124862671,4.0000002627493814e-05
0.0022071509156376123,3.8875749111175537,0.0017597709083929658,0.9998795390129089,0.0005193282850086689,0.9999397993087769,0.00013774866238236427,0.0032576201483607292,3.9665894508361816,0.29662761092185974,0.9824181199073792,0.1692882776260376,0.986994206905365,0.12741920351982117,8.000000889296643e-06
